,Image source,Agent name,Agent role,Agent 2 name,Agent 2 role,Agent 1 culturalContext,Agent 2 culturalContext,Date earliestDate,Date latestDate,Average Date,Date Given,Period,Description,Description source,Location,Location name,Material,Rights,Source,Style Period,"Subject personalName, conceptTopic (book), descriptiveTopic, iconographicTopic (scene)",Scene,Scene Two,Book ,Technique,Work Type,TEXTREF name,TITLE,TITLE  xml:lang,TITLE2,TITLE  xml:lang 2,Direct Link
i_1023.jpg,Finnish National Gallery,"Bottschild, Samuel",artist,,,German,,1651,1707,1679,1651-1707,17th century,,,Finnish National Gallery,Finland,,CC0 1.0,Europeana API,,"Aeneas, Anchises, Ascanius, Creusa, Penates","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises with the Penates; his wife Creusa, who sets out with them, is lost on the way",,Book II,drawing,drawing,,Aeneas with his father Anchises,en,Aeneas isänsä Ankhiseen kanssa,fi,
i_1024.jpg,Szépművészeti Múzeum,"Brueghel, Jan, the elder",artist,,,Flemish,,,,1600,1600,17th century,,,Szépművészeti Múzeum,Hungary,painting,CC BY-NC-ND 4.0,Europeana API,Baroque,"Aeneas, Cumaean Sibyl",96B54 Aeneas' visit to the underworld,,Book VI,painting,painting,,Aeneas and the Sibyl in the Underworld,en,Aeneas és Sibylla az alvilágban,hu,
i_1025.jpg,Slovak National Gallery,"Brueghel, Jan, the elder",artist,,,Flemish,,,,1604,1604,17th century,,,Slovak National Gallery,Slovakia,painting,Public Domain Mark 1.0,Europeana API,Baroque,"Aeneas, Cumaean Sibyl",96B54 Aeneas' visit to the underworld,,Book VI,painting,painting,,Aeneas and the Sibyll in the Underworld,en,Aeneas és Sibylla az alvilágban,hu,
i_1026.jpg,Teylers Museum,"Buonarroti, Michelangelo",artist,,,Italian,,1550,1556,1553,1550-1556,16th century,"Aeneas en architectuurstudies, een schets van een mannelijk torso. English: Aeneas and architectural studies, a sketch of a male torso",Europeana,Teylers Museum,Netherlands,,CC BY-NC 3.0 NL,Europeana API,Renaissance,Aeneas,96B331 Aeneas has his fleet put into readiness; complaints of Dido,,Book IV,drawing,drawing,,Aeneas is ordered to leave Dido,en,Aeneas wordt bevolen Dido te verlaten,nl,
i_1027.jpg,Fitzwilliam Museum,"Burne-Jones, Edward",draughtsman,,,British,,,,1874,1874,19th century,"Classification(s): drawing, drawing, drawing (image-making), graphite within ruled margin on paper; Acquisition: given by Holliday, J. R., 1927-01 [1183.8]",Europeana,Fitzwilliam Museum,United Kingdom,,CC BY-NC-ND 3.0,Europeana API,,"Aeneas, Venus",96B661 Venus hands over the armour to Aeneas,,Book VIII,drawing,drawing,,Venus bringing Armour to Aeneas,en,,,
i_1028.jpg,Fitzwilliam Museum,"Burne-Jones, Edward",draughtsman,,,British,,,,1873,1873,19th century,graphite within ruled margin on paper,Fitzwilliam Museum,Fitzwilliam Museum,United Kingdom,,CC BY-NC-ND 3.0,Europeana API,,"Aeneas, Harpies",96B151 the Harpy Celaeno foretells the future to Aeneas and his crew,,Book III,drawing,drawing,,Aeneas and the Harpies,en,,,
i_1029.jpg,Fitzwilliam Museum,"Burne-Jones, Edward",draughtsman,,,British,,,,1874,1874,19th century,graphite within ruled margin on paper,Fitzwilliam Museum,Fitzwilliam Museum,United Kingdom,,CC BY-NC-ND 3.0,Europeana API,,"Aeneas, Cumaean sibyl, Golden Bough",96B54 Aeneas' visit to the underworld,,Book VI,drawing,drawing,,Aeneas and the Sibyl in the Underworld,en,,,
i_1030.jpg,Fitzwilliam Museum,"Burne-Jones, Edward",draughtsman,,,British,,,,1873,1873,19th century,graphite within ruled margin on paper,Fitzwilliam Museum,Fitzwilliam Museum,United Kingdom,,CC BY-NC-ND 3.0,Europeana API,,"Aeneas, tomb, Mezentius","96B7253 Mezentius confronts Aeneas again, and is killed together with his horse",,Book X,drawing,drawing,,Aeneas at the tomb of Mezentius,en,,,
i_1031.jpg,Fitzwilliam Museum,"Burne-Jones, Edward",draughtsman,,,British,,,,1873,1873,19th century,graphite within ruled margin on paper,Fitzwilliam Museum,Fitzwilliam Museum,United Kingdom,,CC BY-NC-ND 3.0,Europeana API,,"Aeneas, Venus, Carthage",96B221 Venus covers Aeneas with a cloud,,Book I,drawing,drawing,,Venus appearing to Aeneas before Carthage,en,,,
i_1032.jpg,Fitzwilliam Museum,"Burne-Jones, Edward",draughtsman,,,British,,,,1873,1873,19th century,graphite within ruled margin on paper,Fitzwilliam Museum,Fitzwilliam Museum,United Kingdom,,CC BY-NC-ND 3.0,Europeana API,,"Aeneas, Anchises, Ascanius, Creusa, Penates, Venus","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises with the Penates; his wife Creusa, who sets out with them, is lost on the way",,Book II,drawing,drawing,,Aeneas flying from Troy,en,,,
i_1033.jpg,Wellcome Collection,"Büsinck, Ludwig (german)",wood engraver,"Lallemand, Georges",painter,French,,1600,1700,1650,1600-1700,17th century,,,The Wellcome Library,United Kingdom,chiaroscuro woodcuts,CC BY 4.0,Europeana API,,"Aeneas, Anchises, Ascanius, Penates","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises with the Penates",,Book II,woodcut,print,,"Aeneas carrying Anchises on his shoulders, while also leading his son Ascanius away from the fire of Troy",en,,,
i_1034.jpg,Bildarchiv Foto Marburg,"Bys, Johann Rudolf",artist,,,Swiss,,,,1700,1700,18th century,,,Straka Academy,Czech Republic,,Fair Use,Europeana API,,"Venus, Vulcan, Cupid",96B66 Venus asks Vulcan to forge Aeneas' armour,,Book VIII,ceiling painting,ceiling painting,,Venus orders the weapons for Aeneas from Vulcan,en,Venus bestellt bei Vulcan die Waffen für Aeneas,de,https://www.bildindex.de/document/obj20369841
i_1035.jpg,Crawford Art Gallery,"Canova, Antonio",sculptor,,,Italian,,,,1816,1816,19th century,"The Laocoon group depicts the Trojan priest of Apollo and his sons suffering the wrath of Poseidon for having warned the city of Troy against accepting the wooden horse of the Greeks, a warning that led Aeneas to flee the doomed city and go on to found Rome. In Pliny the Elder’s Natural History there is a description of such a sculpture, carved on the island of Rhodes around 40 B.C. by three artists, Hagesandros, Polydoros and Athenodoros. 
According to Pliny, it was destined for the palace of Titus, and indeed on 14 January 1506 this sculpture was unearthed in the ruins of the so-called Baths of Titus, in the vineyard of one Felice de’ Freddi. However, this sculpture is now thought to be a Roman copy of the late Hellenistic original described by Pliny. 
When discovered, the group was in pieces, with parts of the serpents’ coils and the three right arms of the figures missing. It was inaccurately restored by Giovanni da Montorsoli in the 16th century and these restorations are faithfully preserved in the Crawford cast, which was made around 1816 by Canova in the Vatican Museum. In 1905 a German archaeologist, Ludwig Pollock, discovered the missing arm of Laocoon in a Roman marble-cutter’s shop and the original has since been restored more correctly.",Crawford Art Gallery,Crawford Art Gallery,Ireland,sculpture,Public Domain Mark 1.0,Europeana API,,"Laocoön, serpent",94H213 Laocoon and his twin sons are strangled by two serpents during the preparations for a sacrifice,,Book II,sculpting,sculpture,,Laocoon and his Sons,en,,,
i_1036.jpg,Albertina,"Carpi, Ugo da",wood engraver,Raphael,painter,Italian,,,,1518,1518,16th century,Wood engraving in the style of Raphael,Albertina,Albertina,Austria,woodcut,Fair Use,Europeana API,,"Aeneas, Anchises, Ascanius, Penates","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises with the Penates",,Book II,woodcut,print,,Aeneas and Anchises,en,Aeneas und Anchises,de,http://sammlungenonline.albertina.at/?query=Inventarnummer=[DG2002/304]&showtype=record
i_1037.jpg,Szépművészeti Múzeum,"Carracci, Agostino",engraver,"Barocci, Federico",artist,Italian,,,,1595,1595,16th century,,,Szépművészeti Múzeum,Hungary,copper,CC BY-NC-ND 4.0,Europeana API,,"Aeneas, Anchises, Ascanius, Creusa","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises; his wife Creusa, who sets out with them, is lost on the way",,Book II,copper engraving,print,,Aeneas and his family escape from Troy,en,Aeneas és családja menekülése Trójából,hu,
i_1038.jpg,Teylers Museum,"Cavalieri, Giovanni Battista de",engraver,"Prestel, Johann Gottlieb",engraver,Italian,German,,,1788,1788,18th century,,,Teylers Museum,Netherlands,,CC BY-NC 3.0 NL,Europeana API,,"Venus, Vulcan, Cupid",96B66 Venus asks Vulcan to forge Aeneas' armour,,Book VIII,engraving,print,,Venus orders armor for Aeneas,en,Venus bestelt wapenrusting voor Aeneas,nl,
i_1039.jpg,Nationalmuseum,"Corneille, Michel",artist,,,French,,1642,1708,1675,1642-1708,17th century,"Motivation category: Castles, palaces and mansions, decor, decoration Location: Clagny, France Other: Tv in heavy rectangular frame Venus with Aeneas facing Mars, who is sitting on clouds and crowned by renowns. Including octagon with Segern and Clio between sphinxes. On the opposite side, smaller fields surrounded by grippers. Th pretty field with Dido on his throne, Aeneas, Venus on clouds and Mars. On the opposite side fields with sourceymf, river god, Aeneas and Venus with puddle and shield in height. On the short side Venus asking for weapons to Aeneas in Vulcan's forge.",Europeana,Nationalmuseum,Sweden,,CC BY-SA 3.0,Europeana API,,"Aeneas, Venus, Mars, Dido, Vulcan",96B66 Venus asks Vulcan to forge Aeneas' armour,,,drawing,drawing,,Project for Ceiling Decoration for the Gallery of the Château de Clagny: The story of Aeneas,en,,,
i_1040.jpg,Albertina,"Corneille, Michel",artist,,,French,,1652,1708,1680,1652-1708,17th century,,,Albertina,Austria,,Fair Use,Europeana API,,"Aeneas, Gods","96C(AENEAS)69 apotheosis, deification of Aeneas",,,drawing,drawing,,Aeneas with the gods,en,Aeneas bei den Göttern,de,http://sammlungenonline.albertina.at/?query=Inventarnummer=[11788]&showtype=record
i_1041.jpg,Albertina,"Corneille, Michel",artist,,,French,,1652,1708,1680,1652-1708,17th century,,,Albertina,Austria,,Fair Use,Europeana API,,"Aeneas, Gods","96C(AENEAS)69 apotheosis, deification of Aeneas",,,drawing,drawing,,Deification of Aeneas,en,Gottwerdung des Aeneas,de,http://sammlungenonline.albertina.at/?query=Inventarnummer=[11786]&showtype=record
i_1042.jpg,Alinari Archives,Perino del Vaga,artist,,,Italian,,,,1525,1525,16th century,,,Palazzo Massimo alle Colonne,Italy,,Fair Use,Europeana API,,"Aeneas, Dido","96B3 the tragedy of Dido (Virgil, Aeneid IV)",,Book IV,fresco,mural painting,,Frieze with stories of Aeneas and Dido,en,,,
i_1043.jpg,Albertina,"Delaune, Etienne",artist,,,French,,1528,1583,1556,1528-1583,16th century,"Pen, ink, brush, washed with bister, on parchment",Europeana,Albertina,Austria,,Fair Use,Europeana API,,Aeneas,96B54 Aeneas' visit to the underworld,,Book VI,drawing,drawing,,Aeneas on the way to the underworld,en,Aeneas auf dem Wege in die Unterwelt,de,http://sammlungenonline.albertina.at/?query=Inventarnummer=[11159]&showtype=record
i_1044.png,Hunterian Museum,"Dente, Marco",engraver,"Romano, Giulio",artist,Italian,,1493,1527,1510,1493-1527,16th century,"From a volume of 145 prints by or after Marcantonio. The inscription bottom right makes clear that this print shows the boxing match described in Virgil's Aeneid V, 362-484, between Entellus and Dares that is part of the games to mark the death of Anchises. They are shown, perhaps whimsically, fighting in front of the Colosseum in Rome.",Hunterian Museum,Hunterian Museum,United Kingdom,,Fair Use,Europeana API,Renaissance,"Entellus, Dares",96B4221 the boxing contest: Dares and Entellus,,Book VI,engraving,print,,Entellus and Dares,en,,,
i_1045.jpg,Wellcome Collection,"Desplaces, Louis",engraver,"Nattier, Jean-Baptiste",artist,French,,1700,1750,1725,1700-1750,18th century,Venus appears to Aeneas while he is being treated after being wounded in battle. Engraving by L. Desplaces after J.B. Nattier,Wellcome Library,Wellcome Library,United Kingdom,,CC BY 4.0,Europeana API,,"Aeneas, Venus, Japyx",96B8331 Aeneas is wounded; Venus secretly puts a healing plant in the water with which Japyx is bathing the wound,,Book XII,engraving,print,,Aeneas,en,,,
i_1046.jpg,Teylers Museum,"Desplaces, Louis",engraver,"Coypel, Antoine",painter,French,,1705,1739,1722,1705-1739,18th century,,,Teylers Museum,Netherlands,,CC BY-NC 3.0 NL,Europeana API,,"Aeneas, Anchises, Ascanius, Creusa, Penates","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises with the Penates; his wife Creusa, who sets out with them, is lost on the way",,Book II,engraving,print,,Aeneas and His Family Leave the Burning Troy,en,Aeneas en zijn gezin verlaten het brandende Troje,nl,
i_1047.jpg,Teylers Museum,"Desplaces, Louis",engraver,"Jouvenet, Jean",painter,French,,1705,1739,1722,1705-1739,18th century,,,Teylers Museum,Netherlands,,CC BY-NC 3.0 NL,Europeana API,,"Venus, Vulcan, Cupid",96B66 Venus asks Vulcan to forge Aeneas' armour,,Book VIII,engraving,print,,Venus controls the weapons for Aeneas at Vulcanus,en,Venus regelt de wapens voor Aeneas bij Vulcanus,nl,
i_1048.jpg,Deutsche Fotothek,"Dietrich, Christian Wilhelm Ernst",artist,,,German,,,,1766,1766,18th century,,,Staatliche Kunstsammlungen Dresden,Germany,painting,Open Access,Europeana API,,"Aeneas, Venus",96B661 Venus hands over the armour to Aeneas,,Book VIII,painting,painting,,Venus and Aeneas,en,Venus und Aeneas,de,
i_1049.jpg,Albertina,"Dieu, Antoine",artist,,,French,,1662,1727,1695,1662-1727,17th century,"Pen in brown, brush, gray wash, traces of black chalk, border line in brown pen, Durchgriffelungen; pieced in the middle; Supplement (pasted correction) in the area of ​​the putto to the right of Venus",Albertina,Albertina,Austria,,Fair Use,Europeana API,,"Venus, Aeneas, Cupid","96B22 the meeting of Aeneas and Achates with Venus, disguised as a huntress; she points out twelve swans in the sky",,Book I,drawing,drawing,,Fan design: Venus appears to Aeneas as a huntress,en,Fächerentwurf: Venus erscheint Aeneas als Jägerin,de,http://sammlungenonline.albertina.at/?query=Inventarnummer=[24245]&showtype=record
